,Hotel_Title,Title_URL,Address,Address_URL,City,Review,Price,Rating
19,Bjorne Suites,https://hotels.ng/hotel/29364-bjorne-suites-abuja,"Wuse 2, Abuja - 28 Agadez Crescent, Off Aminu Kano Crescent ",https://hotels.ng/hotels-in-abuja/wuse-2,Wuse 2,"

The hotel services was okay. I had no complain throughout my stay, my room was comfort...",18000.0,7.6
20,Blue-view Hotel,https://hotels.ng/hotel/1013093-blue-view-hotel-abuja," Lugbe, Abuja - Light Gold Estate, Lugbe",https://hotels.ng/hotels-in-abuja/lugbe, Lugbe,Staff are very cordial and well mannered. My bed was very comfortable. ...,7000.0,7.2
22,The Bahamas Hotels International,https://hotels.ng/hotel/12735-the-bahamas-hotels-international-rivers,"Asokoro, Abuja - 20, Eyadema Street, Behind Ecowas Secretariat",https://hotels.ng/hotels-in-abuja/asokoro,Asokoro,"It was a wonderful experience, I enjoyed my stay...",9000.0,7.2
23,SeaDry Suites,https://hotels.ng/hotel/67919-seadry-suites-abuja,"Kubwa, Abuja - FCDA Extension III",https://hotels.ng/hotels-in-abuja/kubwa,Kubwa,Everything went well. My stay was pretty fine....,5000.0,6.9
24,1 Oak Place,https://hotels.ng/hotel/1007150-1-oak-place-abuja,"Maitama, Abuja - NO. 38 Euphrates Street Maitama",https://hotels.ng/hotels-in-abuja/maitama,Maitama,The hotel is very well located in a secure high brow area of Abuja. The rooms were clean a...,25800.0,6.9
25,Transcorp Hilton Abuja,https://hotels.ng/hotel/72523-transcorp-hilton-abuja-abuja,"Maitama, Abuja - 1 Aguiyi Ironsi Street Maitama, Abuja",https://hotels.ng/hotels-in-abuja/maitama,Maitama, I stayed at the hotel for one night and I really enjoyed my stay at the hotel. The enviro...,102000.0,6.8
26,Royal Choice Inn,https://hotels.ng/hotel/1242501-royal-choice-inn,"Central Business District, Abuja - Beside The National Christian Centre, Behind CBN, Central Business District",https://hotels.ng/hotels-in-abuja/central-business-district,Central Business District,My stay at the hotel was okay. All was just as it ought to be in terms of good facilities ...,14000.0,7.3
27,Langfield Royalty Motel,https://hotels.ng/hotel/91174-langfield-motels-abuja,"Garki, Abuja - 24 Dunukofia Street Area 11 Opposite Fcda ",https://hotels.ng/hotels-in-abuja/garki,Garki,I had a really good stay at the hotel. Very nice and awesome. Good services were rendered ...,7000.0,6.3
28,Nippon Grand Hotels,https://hotels.ng/hotel/1006249-nippon-grand-hotels-abuja,"Kado, Abuja - Plot 102 Ahmadu Bello, Kado Express Way, Opp Nest Cash ",https://hotels.ng/hotels-in-abuja/kado,Kado,"My stay was nice, I really enjoyed the experience. Excellence customer service. Its a plac...",22000.0,7.8
29,Reiz Continental Hotel,https://hotels.ng/hotel/63912-reiz-continental-hotel-abuja,"Garki, Abuja - Plot 779, Cadastral Zone AO,Central Business District",https://hotels.ng/hotels-in-abuja/garki,Garki,"I had a fantastic experience. The hotel was really enjoyable. Nice reception, with beautif...",32900.0,7.7
30,Grand Ibro Hotel Annex,https://hotels.ng/hotel/77935-grand-ibro-hotel-annex-abuja,"Wuse Zone 5, Abuja - 36 Sokode Crescent",https://hotels.ng/hotels-in-abuja/wuse-zone-5,Wuse Zone 5,"My stay at the hotel was pleasing, the environment was inviting with a lot of side attract...",17000.0,6.9
33,Green Mike Hotel Formerly (Royal Tropicana Hotel),https://hotels.ng/hotel/998296-royal-tropicana-abuja,"Utako, Abuja - Plot 764, Cadastral Zone B05, Utako",https://hotels.ng/hotels-in-abuja/utako,Utako,My stay was very okay....,10000.0,7.1
34,The Weaver's Hotel,https://hotels.ng/hotel/996201-the-weavers-hotel-abia,"Central Business District, Abuja - Plot 74 Ralph Shodeinde Street, Ogun State House Opposite Federal Ministry Of Finance/NACA",https://hotels.ng/hotels-in-abuja/central-business-district,Central Business District,"MY  stay was not bad. Reception was good, clean room. I enjoyed my stay....",12000.0,7.4
35,The Edge By Wellness,https://hotels.ng/hotel/1392966-the-edge-by-wellness,"Gwarinpa, Abuja - No.1 C-Close, 4th Avenue, Citec Villa, Gwarinpa",https://hotels.ng/hotels-in-abuja/gwarinpa,Gwarinpa,This hotel is amazing. I never knew I could see a hotel this good in Abuja. The environmen...,14997.0,6.9
36,Peace Haven Hotel,https://hotels.ng/hotel/82713-peace-haven-hotel-abuja,"Wuye, Abuja - 112 Olusegun Obasanjo Way, Wuye, FCT",https://hotels.ng/hotels-in-abuja/wuye,Wuye,"I had a nice stay in the hotel. The room was neat and tidy but the was no television,  the...",9000.0,6.8
37,Golden Astoria Hotels,https://hotels.ng/hotel/72423-golden-astoria-hotels-abuja,"Utako, Abuja - No. 9, Moses Majekodunmi Crescent",https://hotels.ng/hotels-in-abuja/utako,Utako,They have wonderful staff. The rooms were properly cleaned.  I enjoyed my stay....,9000.0,7.6
38,Sharon Ultimate Hotels,https://hotels.ng/hotel/94874-sharon-ultimate-hotels-abuja,"Garki, Abuja - Plot 1710, Tafawa Balewa Way, Area 3",https://hotels.ng/hotels-in-abuja/garki,Garki,Nothing amazed me here as much as the quality of their customer service. The staff  were v...,19000.0,6.4
40,House 9 Apartments,https://hotels.ng/hotel/1002852-house-9-short-stay-service-apartment-abuja,"Maitama, Abuja - #9 Ontario Crescent, Off Mississippi Street,maitama Abuja.",https://hotels.ng/hotels-in-abuja/maitama,Maitama,"I enjoyed my stay, The reception was good and the staff was very helpful. The environment ...",15750.0,6.9
41,FRANKEYZ HAVEN SUITES,https://hotels.ng/hotel/1006363-frankeyz-haven-suites-abuja,"Gwarinpa, Abuja - 38/40, 1st Avenue (between NNPC Filing Station And Drumstix), Gwarinpa Estate",https://hotels.ng/hotels-in-abuja/gwarinpa,Gwarinpa,"It was a good stay, service was perfect....",9500.0,6.1
42,Frankville Hotel Ltd,https://hotels.ng/hotel/996813-frankville-hotel-ltd-nasarawa,"Karu, Abuja - FMEV Quaters , (Formerly Nepa Quaters), E10/9076, Karu",https://hotels.ng/hotels-in-abuja/karu,Karu,The hotel has about everything going for it. The location is serene and amenities are top ...,8500.0,6.9
43,Casalinda Hotel ,https://hotels.ng/hotel/995355-casalinda-hotel-gallery-resort-abuja,"Wuse 2, Abuja - 6 Takwa Crescent, Wuse 2 , By Exclusive Stores",https://hotels.ng/hotels-in-abuja/wuse-2,Wuse 2,My stay was Fantastic....,28500.0,6.9
45,Starview Palace Hotel,https://hotels.ng/hotel/1012495-starview-palace-hotel-abuja,"Gwarinpa, Abuja - Plot 7, 4th Avenue (by Setraco Gate)",https://hotels.ng/hotels-in-abuja/gwarinpa,Gwarinpa,I quite enjoyed my stay at the hotel. I did not exactly have any issues checking in and ou...,25000.0,6.9
46,"Hatfield Apartments, Jabi",https://hotels.ng/hotel/1005772-hatfield-hotel-abuja,"Jabi, Abuja - 11 Etang O. Obuli Crescent Off Idris Ibrahim, Crescent By Jabi Golf Course, Jabi",https://hotels.ng/hotels-in-abuja/jabi,Jabi,I'm a sucker for clean places and that was like the first thing I noticed when I entered t...,14000.0,6.9
49,Chateau De Trybze,https://hotels.ng/hotel/84775-chateau-de-trybze-abuja,"Wuse, Abuja - 51 Suez Crescent Abacha Estate , Behind Sheraton Hotels And Towers,",https://hotels.ng/hotels-in-abuja/wuse,Wuse,"Nicely located, I love the services, neat rooms. Constant light supply. ...",15000.0,7.5
50,"Top Rank Hotels Galaxy, Abuja",https://hotels.ng/hotel/1007668-top-rank-hotels-galaxy-abuja-abuja,"Abuja, Abuja - Plot 245, Pow Mafemi, Off Solomon Lar Way, Utako, Abuja, Utako, Nigeria ,",https://hotels.ng/hotels-in-abuja/abuja,Abuja,I had a fantastic stay at the hotel. ...,18400.0,6.9
51,Crown Princess Hotels,https://hotels.ng/hotel/69764-crown-princess-hotel-ltd-abuja,"Wuse, Abuja - 53 Lome Crescent Plot 1760 Beside Standard Organization, Wuse Zone 7",https://hotels.ng/hotels-in-abuja/wuse,Wuse,Everything about the hotel was okay by me. All process were orderly....,8500.0,7.1
52,Quo Vadis Hotel,https://hotels.ng/hotel/82173-willemsen-hospitality-hotel-abuja,"Wuse 2, Abuja - Tarkwa Close",https://hotels.ng/hotels-in-abuja/wuse-2,Wuse 2,My stay was fantastic. I really enjoyed my stay....,30600.0,6.9
53,Citi Lodge Hotel,https://hotels.ng/hotel/62937-citi-lodge-hotel-abuja,"Garki , Abuja - Plot 595 Durumi Road, Area 1, By Old Secretariat ",https://hotels.ng/hotels-in-abuja/garki,Garki ,My stay was good....,16000.0,7.8
54,Rockview Hotel Classic,https://hotels.ng/hotel/49484-rockview-hotels-abuja,"Wuse, Abuja - Plot 194 Cadastral Zone A8 Adetokunbo Ademola Crescent ",https://hotels.ng/hotels-in-abuja/wuse,Wuse," The hotel was really a nice place to stay, the room was comfortable and neat.The bathroom...",30550.0,6.9
55,"Georgetown Hotel, Gwarinpa",https://hotels.ng/hotel/998532-geogetown-hotel-abuja,"Gwarinpa, Abuja - Plote C126, 1st Avenue Back Of Agate Hotel Gwarinpa Abuja.",https://hotels.ng/hotels-in-abuja/gwarinpa,Gwarinpa,I had a wonderful stay at the hotel. I was promptly and well attended to. The room was nea...,15000.0,7.5
57,Centurion Apartments,https://hotels.ng/hotel/1391973-centurion-apartments,"Wuse Zone 4, Abuja - 30, Kitwe Street, Wuse Zone 4",https://hotels.ng/hotels-in-abuja/wuse-zone-4,Wuse Zone 4,"Wow, my stay at the hotel was splendid.  Everything was perfect except for inadequate powe...",15000.0,6.9
58,"Prixair Hotel, Maitama",https://hotels.ng/hotel/97214-prixair-place-abuja,"Maitama, Abuja - No. 46, Euphrates Crescent, Off Aguiyi Ironsi Street",https://hotels.ng/hotels-in-abuja/maitama,Maitama,My stay at the hotel was good. I received a warm welcome reception and the staff were frie...,16000.0,6.9
59,Summerset Continental Hotel (Asokoro),https://hotels.ng/hotel/1003898-summerset-continental-hotel-asokoro-abuja,"Asokoro, Abuja - Plot # 104, Kwame Nkurumah, Off Thomas Sankara Street, Asokoro, Abuja (beside Ecowas Secretariat )",https://hotels.ng/hotels-in-abuja/asokoro,Asokoro,Hotel staff are very cordial and well mannered. My bed was very comfortable. But this hote...,40000.0,6.9
60,Chelsea Hotel (Central Business District) ,https://hotels.ng/hotel/45265-chelsea-hotel-abuja,"Central Business District , Abuja - Plot 123 Cadastral Zone A0, Cadastral Zone",https://hotels.ng/hotels-in-abuja/central-business-district,Central Business District ,I quite enjoyed my stay at the hotel. I did not exactly have any issues checking in and ou...,43650.0,7.2
61,B's Hive Hotels And Suites,https://hotels.ng/hotel/1011526-bs-hive-hotels-and-suites-abuja,"Gwarinpa, Abuja - 81, 4th Avenue, CITEC Villas",https://hotels.ng/hotels-in-abuja/gwarinpa,Gwarinpa,"Spent three days and had a very nice experience; the rooms are clean and tidy, customer ca...",11000.0,6.9
63,Ignobis Hotel,https://hotels.ng/hotel/23282-ignobis-hotel-abuja,"Kubwa, Abuja - Plot 147 Cadastral Zone 05-07, Gado Nasko Road, Phase 4",https://hotels.ng/hotels-in-abuja/kubwa,Kubwa,"Your hotel is really nice, no disturbance at all. Everywhere was quite and the staff carri...",4000.0,6.9
64,Summit Villa Hotel (Formerly Amenco Hotel),https://hotels.ng/hotel/995807-amenco-hotel-abuja,"Life Camp, Abuja - On The Road To Efab Estate Behind Sky Bank At Life Camp Junction",https://hotels.ng/hotels-in-abuja/life-camp,Life Camp,My stay went well...,8400.0,6.9
65,The Corinthia Villa H﻿otel & Suites,https://hotels.ng/hotel/1391154-corinthia-villa-hotel-suites,"Garki 2, Abuja - No 9, Arochukwu Street, Area 11, Old CBN By Old Ferma, Garki 2",https://hotels.ng/hotels-in-abuja/garki-2,Garki 2,"It was a wonderful experience. The setting was fantastic, quiet environment and services w...",38000.0,6.9
66,Jovidat Suite,https://hotels.ng/hotel/995426-jovidat-suite-abuja,"Jabi, Abuja - Plot 518 Olu Arootesu Street , Behind Mr Biggs",https://hotels.ng/hotels-in-abuja/jabi,Jabi,The hotel was okay but the advertised WIFI was not available. The rooms were below standar...,9300.0,7.6
67,Immaculate Platinum Luxury Resorts,https://hotels.ng/hotel/1391175-immaculate-platinum-luxury-resorts,"Wuse 2, Abuja - 24, Lobito Crescent, Wuse 2",https://hotels.ng/hotels-in-abuja/wuse-2,Wuse 2,"I had a nice a nice stay. Good hospitality, nice place to be....",25500.0,6.9
68,3J's Hotels,https://hotels.ng/hotel/83382-3js-hotels-abuja,"Utako, Abuja - Plot 31 P.O.W. Mafemi Crescent.",https://hotels.ng/hotels-in-abuja/utako,Utako,My stay was okay at the hotel. No problem or issues encountered there. The room was comfor...,88600.0,6.9
69,The Missouri Hotel,https://hotels.ng/hotel/1001950-the-missouri-hotel-abuja,"Maitama, Abuja - 8, Missouri Street, Off  Colorado Close Minister's Hill. ",https://hotels.ng/hotels-in-abuja/maitama,Maitama,"I had a good time at the hotel. The room was really clean. The staff were kind, helpful an...",20000.0,6.9
70,Nordic Hospitality Suites,https://hotels.ng/hotel/71429-nordic-residence-lagos,"Jabi, Abuja - No 14 Patrick O Bokkor Cresent Jabi ",https://hotels.ng/hotels-in-abuja/jabi,Jabi,My stay in the hotel was a short but memorable one. The services rendered were very adequa...,18500.0,6.9
71,Vine Apartment,https://hotels.ng/hotel/1008551-vine-apartments-abuja,"Garki, Abuja - No 13, Ogbomosho Street, Area 8, Garki",https://hotels.ng/hotels-in-abuja/garki,Garki,"If you're looking for a low budget hotel within Abuja, look no further. My stay there was...",12000.0,6.9
72,Brickland Residence ,https://hotels.ng/hotel/68185-brickland-residence-abuja,"Wuse Zone 6, Abuja - 32 Kinshasha Street Opposite Foreign Affair Quarters Back Of Primary School.",https://hotels.ng/hotels-in-abuja/wuse-zone-6,Wuse Zone 6,"I had a wonderful stay at the hotel, the meals were very tasty, the room was very comforta...",9200.0,6.9
73,Hotel Reno,https://hotels.ng/hotel/1391197-hotel-reno,"Katampe, Abuja - Plot 1068, Off Nnamdi Azikiwe Express Way, Opposite NICON Junction, Katampe District",https://hotels.ng/hotels-in-abuja/katampe,Katampe,"My stay was nice, warm place and lovely staff....",23500.0,7.8
75,Church House Hotel,https://hotels.ng/hotel/45712-church-house-hotel-abuja,"Wuse, Abuja - Doula Street",https://hotels.ng/hotels-in-abuja/wuse,Wuse,I had a really wonderful stay at the hotel.  Services rendered at the hotel was good.  I h...,7500.0,6.9
76,Rockview Hotel Royale,https://hotels.ng/hotel/72611-rockview-royale-abuja,"Wuse, Abuja - 196 CAD Zone A8 Adetokunbo Ademola Crescent         ",https://hotels.ng/hotels-in-abuja/wuse,Wuse,My stay was good....,40185.0,7.7
78, Hawthorn Suites By Wyndham,https://hotels.ng/hotel/93818-hawthorn-suites-by-wyndham-abuja-abuja,"Garki, Abuja - 1 Uke Street, 900001, Area 11.",https://hotels.ng/hotels-in-abuja/garki,Garki,I had a really good stay at the hotel. The environment was nice and cool with a good ambia...,39200.0,6.9
81,Bel Classcia (Former Durban Suites),https://hotels.ng/hotel/1012461-durban-suites-abuja,"Abuja, Abuja - No 36,Durban Street,Off Adetokunbo Ademola Cresent,Wuse II, Abuja",https://hotels.ng/hotels-in-abuja/abuja,Abuja,"I promised them I will do this review. This is my 5th time here,  I most say I love the en...",15650.0,7.2
82,Sheraton Abuja Hotel,https://hotels.ng/hotel/86957-sheraton-abuja-hotel-abuja,"Maitama, Abuja - Ladi Kwali Way, Maitama, Abuja",https://hotels.ng/hotels-in-abuja/maitama,Maitama,Although I am not a stranger to the professionalism of Sheraton Hotel staff. Their hospita...,49999.0,6.9
83,Nicon Luxury,https://hotels.ng/hotel/17329-nicon-luxury-abuja,"Garki, Abuja - Plot 903 Tafawa Balewa Way Area 11",https://hotels.ng/hotels-in-abuja/garki,Garki,I liked the hotel and my stay there was good. The environment was serene and ambiance felt...,40191.0,6.9
84,RESIDENCY HOTEL ASOKORO EXTENSION ABUJA,https://hotels.ng/hotel/1004968-twins-residency-hotel-abuja,"Guzape, Abuja - (Plot 740 Nasir El-Rufai Crescent, Asokoro Extension Guzape Hills (5 Minutes Away From City Center), Near COZA Church).",https://hotels.ng/hotels-in-abuja/guzape,Guzape,I had a good time. Perfect stay....,15000.0,7.6
85,Ivory Suites,https://hotels.ng/hotel/87972-ivory-suites-abuja,"Wuse, Abuja - No. 5 Port Faid Street By Old Sahad Store",https://hotels.ng/hotels-in-abuja/wuse,Wuse,The hotel is a nice place....,9070.0,6.9
86,Elyte Guest Inn,https://hotels.ng/hotel/66466-elyte-guest-inn-abuja,"Garki, Abuja - Plot 440, Zungeru Close, Off Jos Street, Area 3",https://hotels.ng/hotels-in-abuja/garki,Garki,There was no issue at all. I had a nice stay....,6800.0,6.0
87,Villa Picasso (Abuja),https://hotels.ng/hotel/39222-villa-picasso-abuja,"Maitama, Abuja - 22 Gana Street, Maitama, Abuja. ( Opposite Transcorp Hilton Hotel)",https://hotels.ng/hotels-in-abuja/maitama,Maitama,"My stay at the hotel was fantastic, I received a warm reception from their ever smiling st...",33000.0,6.4
88,Concordia Hotel,https://hotels.ng/hotel/1004684-concordia-hotel-abuja,"Durumi, Abuja - Plot 201 Durumi District, Off Oladipo Diya Road Opposite Games Village, Abuja.",https://hotels.ng/hotels-in-abuja/durumi,Durumi,My stay at the hotel was okay. The reception that I received was not bad at all. I must sa...,9000.0,6.9
90,Parkview Hotels,https://hotels.ng/hotel/44575-parkview-hotels-abuja,"Wuse, Abuja - Plot 2390, Takoradi Street, Opposite Amusement Park, Wuse Zone 1, Abuja, Nigeria",https://hotels.ng/hotels-in-abuja/wuse,Wuse,"The room was nice and clean, the service delivery was magnificent....",17500.0,6.9
93,Summerset Continental Hotel,https://hotels.ng/hotel/78382-summerset-continental-hotel-abuja,"Maitama, Abuja - 73 Usuma Street",https://hotels.ng/hotels-in-abuja/maitama,Maitama,"My stay  was good as expected, the hotel was generally okay. Everything was in place. I wa...",50000.0,6.2
95,Laropa Luxury Suites,https://hotels.ng/hotel/89685-laropa-luxury-suites-abuja,"Gwarinpa, Abuja - House 54, 21 Road,  2nd Avenue",https://hotels.ng/hotels-in-abuja/gwarinpa,Gwarinpa,"I had a fantastic stay at the hotel, I love their services. My room was kept neat and thei...",8000.0,6.1
96,Canopy Hotels,https://hotels.ng/hotel/91133-canopy-hotels-abuja,"Utako, Abuja - No. 24, Moses Majekodumi Crescent",https://hotels.ng/hotels-in-abuja/utako,Utako,My stay has been very good. I was scheduled to check out today but because of a change in ...,8500.0,6.3
98,Sheer Luxury Apartments ,https://hotels.ng/hotel/58155-sheer-luxury-suites-abuja,"Garki 2, Abuja - Plot 1659 Sapele Street Off Akintola Boulevard",https://hotels.ng/hotels-in-abuja/garki-2,Garki 2,"My stay at the hotel was a pretty decent one, the room was big and had a nice bed that was...",25000.0,6.7
101,The Nordic Villa,https://hotels.ng/hotel/28262-the-nordic-villa-abuja,"Jabi, Abuja - No. 52, Mike Akhigbe Way",https://hotels.ng/hotels-in-abuja/jabi,Jabi,"My stay at the hotel was excellent! The room I stayed in was spacious and well furnished, ...",36355.0,6.9
103,Beverly Hills Hotels ,https://hotels.ng/hotel/83391-beverly-hills-hotels-abuja,"Wuse , Abuja - 62 Aminu Kano Crescent",https://hotels.ng/hotels-in-abuja/wuse,Wuse ,"The room was well furnished, clean and enticing, it had an air conditioning unit, a televi...",11500.0,6.9
104,Barca Liga Hotels,https://hotels.ng/hotel/1006513-barca-liga-hotels-abuja,"Apo, Abuja - Franca Afegbua Crescent, Gudu District, Near Zone E, Apo Legislative Quarters",https://hotels.ng/hotels-in-abuja/apo,Apo,The hotel is good especially the front desk. ...,18000.0,7.5
105,1st Forty Hotel,https://hotels.ng/hotel/35665-first-forty-hotel-abuja,"Wuse, Abuja - Plot 38, Aminu Kano Crescent",https://hotels.ng/hotels-in-abuja/wuse,Wuse,"Wow! This hotel is totally amazing, they have excellent staff, clean water and power suppl...",17800.0,7.0
110,Nordic Hotel,https://hotels.ng/hotel/1012944-nordic-hotel-abuja,"Mabushi , Abuja - Plot 1322 Shehu Yaradua Boulevard, At BluCabana, Mabushi, Abuja",https://hotels.ng/hotels-in-abuja/mabushi,Mabushi ,"My stay at the hotel was nice, room service was great as they answered to my calls swiftly...",54485.0,6.9
112,Tranquil Mews Boutique Hotel,https://hotels.ng/hotel/18119-tranquil-mews-boutique-hotel-abuja,"Utako, Abuja -  Plot 1079, Behind Julius Berger Head Quarters, Off Ngozi Okonjo Iweala Way, By Good Tidings Church, Utako",https://hotels.ng/hotels-in-abuja/utako,Utako,I had a nice stay at the hotel. The customer services and the facilities were quite okay. ...,20250.0,7.7
113, Villa U Hotels,https://hotels.ng/hotel/81357-villa-u-hotel-abuja,"Wuse, Abuja - N0. 29, Plot 733, Alexandria Street, Off Aminu Kano Crescent",https://hotels.ng/hotels-in-abuja/wuse,Wuse,The hotel is satisfactory....,8600.0,6.9
114,Centurion Apartments,https://hotels.ng/hotel/1392279-centurion-apartments,"Maitama, Abuja - No 29 Ontario Crescent, Off Mississippi Street, Maitama",https://hotels.ng/hotels-in-abuja/maitama,Maitama,"Good stay. Swift customer service, comfortable room. 9/10 rating....",20000.0,6.9
115,La Pour Hotel,https://hotels.ng/hotel/26113-lapour-hotel-abuja,"Utako, Abuja - Plot 794, Okonjo-iweala Way, Utako District, Opp Good Tiding Church, Abuja",https://hotels.ng/hotels-in-abuja/utako,Utako,The staff were hospitable and friendly. The services rendered were modern and affordable. ...,13000.0,6.9
116,VYNEDRESA HOTEL ABUJA ,https://hotels.ng/hotel/1004163-vynedresa-hotel-abuja-abuja,"Garki , Abuja - 8 Uyo Crescent, Off Emeka Anyaoku Street, Area 11, Garki,Abuja",https://hotels.ng/hotels-in-abuja/garki,Garki ,I really enjoyed my stay at the hotel. The environment was cool and carried a good ambianc...,20000.0,6.9
117,Iris Hotel Abuja,https://hotels.ng/hotel/1391178-iris-hotel-abuja,"Wuse 2, Abuja - 34 Lingu Crescent, Off Aminu Kano Crescent, Wuse 2",https://hotels.ng/hotels-in-abuja/wuse-2,Wuse 2,My stay was very good....,30550.0,6.9
118,Hemas Hotels ,https://hotels.ng/hotel/32348-hemas-hotels-and-apartments-abuja,"Life Camp, Abuja - No 2 Adamu Fika Street, Life Camp",https://hotels.ng/hotels-in-abuja/life-camp,Life Camp,"I had a wonderful time. The services were great, the only challenge the food was on the hi...",14000.0,6.9
