,Hotel_Title,Title_URL,Address,Address_URL,City,Review_Text,Price,Rating,State
13,"BARCELONA HOTELS, ABUJA",https://hotels.ng/hotel/66685-barcelona-hotels-abuja-abuja,"Wuse 2, Abuja - 23 Blantyre Street, Off Aminu Kano Crescent, Wuse II ",https://hotels.ng/hotels-in-abuja/wuse-2,Wuse 2,I had a good stay at the hotel. I had no issues checking in and out of the place. The envi...,25200.0,6.8,Abuja
14,Stamford Hotels ,https://hotels.ng/hotel/15314-stamford-abuja,"Kubwa, Abuja - 26 / 28 Olukoya Street Extension 3 By Army Post Service Scheme",https://hotels.ng/hotels-in-abuja/kubwa,Kubwa,I spent 7 days at Stamford hotel and I can authoritatively  state that there services are ...,9500.0,6.7,Abuja
15,New City Hotel,https://hotels.ng/hotel/52494-new-city-abuja,"Wuye, Abuja - Plot 576 Gidado Idris Street Wuye",https://hotels.ng/hotels-in-abuja/wuye,Wuye,I have used the hotel a couple of times and I was not disapointed at all by the hotel's st...,6000.0,6.0,Abuja
16, Hotel Rosebud,https://hotels.ng/hotel/66186-hotel-rosebud-abuja,"Garki, Abuja - 33 Port Harcourt Crescent Off Gimbiya Street, Garki, Area 11,",https://hotels.ng/hotels-in-abuja/garki,Garki,I have been patronizing this hotel for close to five years now and I have never been disap...,18400.0,6.7,Abuja
17,Maitama Guest House,https://hotels.ng/hotel/19135-maitama-guest-house-abuja,"Maitama, Abuja - 25, Yedsaram Street",https://hotels.ng/hotels-in-abuja/maitama,Maitama,"The water heater was in a terrible state,  the hotel people were clueless about how to fix...",8100.0,6.9,Abuja
19,Bjorne Suites,https://hotels.ng/hotel/29364-bjorne-suites-abuja,"Wuse 2, Abuja - 28 Agadez Crescent, Off Aminu Kano Crescent ",https://hotels.ng/hotels-in-abuja/wuse-2,Wuse 2,"

The hotel services was okay. I had no complain throughout my stay, my room was comfort...",18000.0,7.6,Abuja
20,Blue-view Hotel,https://hotels.ng/hotel/1013093-blue-view-hotel-abuja," Lugbe, Abuja - Light Gold Estate, Lugbe",https://hotels.ng/hotels-in-abuja/lugbe, Lugbe,Staff are very cordial and well mannered. My bed was very comfortable. ...,7000.0,7.2,Abuja
22,The Bahamas Hotels International,https://hotels.ng/hotel/12735-the-bahamas-hotels-international-rivers,"Asokoro, Abuja - 20, Eyadema Street, Behind Ecowas Secretariat",https://hotels.ng/hotels-in-abuja/asokoro,Asokoro,"It was a wonderful experience, I enjoyed my stay...",9000.0,7.2,Abuja
25,Transcorp Hilton Abuja,https://hotels.ng/hotel/72523-transcorp-hilton-abuja-abuja,"Maitama, Abuja - 1 Aguiyi Ironsi Street Maitama, Abuja",https://hotels.ng/hotels-in-abuja/maitama,Maitama, I stayed at the hotel for one night and I really enjoyed my stay at the hotel. The enviro...,102000.0,6.8,Abuja
26,Royal Choice Inn,https://hotels.ng/hotel/1242501-royal-choice-inn,"Central Business District, Abuja - Beside The National Christian Centre, Behind CBN, Central Business District",https://hotels.ng/hotels-in-abuja/central-business-district,Central Business District,My stay at the hotel was okay. All was just as it ought to be in terms of good facilities ...,14000.0,7.3,Abuja
27,Langfield Royalty Motel,https://hotels.ng/hotel/91174-langfield-motels-abuja,"Garki, Abuja - 24 Dunukofia Street Area 11 Opposite Fcda ",https://hotels.ng/hotels-in-abuja/garki,Garki,I had a really good stay at the hotel. Very nice and awesome. Good services were rendered ...,7000.0,6.3,Abuja
28,Nippon Grand Hotels,https://hotels.ng/hotel/1006249-nippon-grand-hotels-abuja,"Kado, Abuja - Plot 102 Ahmadu Bello, Kado Express Way, Opp Nest Cash ",https://hotels.ng/hotels-in-abuja/kado,Kado,"My stay was nice, I really enjoyed the experience. Excellence customer service. Its a plac...",22000.0,7.8,Abuja
29,Reiz Continental Hotel,https://hotels.ng/hotel/63912-reiz-continental-hotel-abuja,"Garki, Abuja - Plot 779, Cadastral Zone AO,Central Business District",https://hotels.ng/hotels-in-abuja/garki,Garki,"I had a fantastic experience. The hotel was really enjoyable. Nice reception, with beautif...",32900.0,7.7,Abuja
30,Grand Ibro Hotel Annex,https://hotels.ng/hotel/77935-grand-ibro-hotel-annex-abuja,"Wuse Zone 5, Abuja - 36 Sokode Crescent",https://hotels.ng/hotels-in-abuja/wuse-zone-5,Wuse Zone 5,"My stay at the hotel was pleasing, the environment was inviting with a lot of side attract...",17000.0,6.9,Abuja
33,Green Mike Hotel Formerly (Royal Tropicana Hotel),https://hotels.ng/hotel/998296-royal-tropicana-abuja,"Utako, Abuja - Plot 764, Cadastral Zone B05, Utako",https://hotels.ng/hotels-in-abuja/utako,Utako,My stay was very okay....,10000.0,7.1,Abuja
34,The Weaver's Hotel,https://hotels.ng/hotel/996201-the-weavers-hotel-abia,"Central Business District, Abuja - Plot 74 Ralph Shodeinde Street, Ogun State House Opposite Federal Ministry Of Finance/NACA",https://hotels.ng/hotels-in-abuja/central-business-district,Central Business District,"MY  stay was not bad. Reception was good, clean room. I enjoyed my stay....",12000.0,7.4,Abuja
36,Peace Haven Hotel,https://hotels.ng/hotel/82713-peace-haven-hotel-abuja,"Wuye, Abuja - 112 Olusegun Obasanjo Way, Wuye, FCT",https://hotels.ng/hotels-in-abuja/wuye,Wuye,"I had a nice stay in the hotel. The room was neat and tidy but the was no television,  the...",9000.0,6.8,Abuja
37,Golden Astoria Hotels,https://hotels.ng/hotel/72423-golden-astoria-hotels-abuja,"Utako, Abuja - No. 9, Moses Majekodunmi Crescent",https://hotels.ng/hotels-in-abuja/utako,Utako,They have wonderful staff. The rooms were properly cleaned.  I enjoyed my stay....,9000.0,7.6,Abuja
38,Sharon Ultimate Hotels,https://hotels.ng/hotel/94874-sharon-ultimate-hotels-abuja,"Garki, Abuja - Plot 1710, Tafawa Balewa Way, Area 3",https://hotels.ng/hotels-in-abuja/garki,Garki,Nothing amazed me here as much as the quality of their customer service. The staff  were v...,19000.0,6.4,Abuja
41,FRANKEYZ HAVEN SUITES,https://hotels.ng/hotel/1006363-frankeyz-haven-suites-abuja,"Gwarinpa, Abuja - 38/40, 1st Avenue (between NNPC Filing Station And Drumstix), Gwarinpa Estate",https://hotels.ng/hotels-in-abuja/gwarinpa,Gwarinpa,"It was a good stay, service was perfect....",9500.0,6.1,Abuja
42,Frankville Hotel Ltd,https://hotels.ng/hotel/996813-frankville-hotel-ltd-nasarawa,"Karu, Abuja - FMEV Quaters , (Formerly Nepa Quaters), E10/9076, Karu",https://hotels.ng/hotels-in-abuja/karu,Karu,The hotel has about everything going for it. The location is serene and amenities are top ...,8500.0,6.9,Abuja
49,Chateau De Trybze,https://hotels.ng/hotel/84775-chateau-de-trybze-abuja,"Wuse, Abuja - 51 Suez Crescent Abacha Estate , Behind Sheraton Hotels And Towers,",https://hotels.ng/hotels-in-abuja/wuse,Wuse,"Nicely located, I love the services, neat rooms. Constant light supply. ...",15000.0,7.5,Abuja
51,Crown Princess Hotels,https://hotels.ng/hotel/69764-crown-princess-hotel-ltd-abuja,"Wuse, Abuja - 53 Lome Crescent Plot 1760 Beside Standard Organization, Wuse Zone 7",https://hotels.ng/hotels-in-abuja/wuse,Wuse,Everything about the hotel was okay by me. All process were orderly....,8500.0,7.1,Abuja
53,Citi Lodge Hotel,https://hotels.ng/hotel/62937-citi-lodge-hotel-abuja,"Garki , Abuja - Plot 595 Durumi Road, Area 1, By Old Secretariat ",https://hotels.ng/hotels-in-abuja/garki,Garki ,My stay was good....,16000.0,7.8,Abuja
55,"Georgetown Hotel, Gwarinpa",https://hotels.ng/hotel/998532-geogetown-hotel-abuja,"Gwarinpa, Abuja - Plote C126, 1st Avenue Back Of Agate Hotel Gwarinpa Abuja.",https://hotels.ng/hotels-in-abuja/gwarinpa,Gwarinpa,I had a wonderful stay at the hotel. I was promptly and well attended to. The room was nea...,15000.0,7.5,Abuja
60,Chelsea Hotel (Central Business District) ,https://hotels.ng/hotel/45265-chelsea-hotel-abuja,"Central Business District , Abuja - Plot 123 Cadastral Zone A0, Cadastral Zone",https://hotels.ng/hotels-in-abuja/central-business-district,Central Business District ,I quite enjoyed my stay at the hotel. I did not exactly have any issues checking in and ou...,43650.0,7.2,Abuja
66,Jovidat Suite,https://hotels.ng/hotel/995426-jovidat-suite-abuja,"Jabi, Abuja - Plot 518 Olu Arootesu Street , Behind Mr Biggs",https://hotels.ng/hotels-in-abuja/jabi,Jabi,The hotel was okay but the advertised WIFI was not available. The rooms were below standar...,9300.0,7.6,Abuja
73,Hotel Reno,https://hotels.ng/hotel/1391197-hotel-reno,"Katampe, Abuja - Plot 1068, Off Nnamdi Azikiwe Express Way, Opposite NICON Junction, Katampe District",https://hotels.ng/hotels-in-abuja/katampe,Katampe,"My stay was nice, warm place and lovely staff....",23500.0,7.8,Abuja
76,Rockview Hotel Royale,https://hotels.ng/hotel/72611-rockview-royale-abuja,"Wuse, Abuja - 196 CAD Zone A8 Adetokunbo Ademola Crescent         ",https://hotels.ng/hotels-in-abuja/wuse,Wuse,My stay was good....,40185.0,7.7,Abuja
81,Bel Classcia (Former Durban Suites),https://hotels.ng/hotel/1012461-durban-suites-abuja,"Abuja, Abuja - No 36,Durban Street,Off Adetokunbo Ademola Cresent,Wuse II, Abuja",https://hotels.ng/hotels-in-abuja/abuja,Abuja,"I promised them I will do this review. This is my 5th time here,  I most say I love the en...",15650.0,7.2,Abuja
83,Nicon Luxury,https://hotels.ng/hotel/17329-nicon-luxury-abuja,"Garki, Abuja - Plot 903 Tafawa Balewa Way Area 11",https://hotels.ng/hotels-in-abuja/garki,Garki,I liked the hotel and my stay there was good. The environment was serene and ambiance felt...,40191.0,6.9,Abuja
84,RESIDENCY HOTEL ASOKORO EXTENSION ABUJA,https://hotels.ng/hotel/1004968-twins-residency-hotel-abuja,"Guzape, Abuja - (Plot 740 Nasir El-Rufai Crescent, Asokoro Extension Guzape Hills (5 Minutes Away From City Center), Near COZA Church).",https://hotels.ng/hotels-in-abuja/guzape,Guzape,I had a good time. Perfect stay....,15000.0,7.6,Abuja
86,Elyte Guest Inn,https://hotels.ng/hotel/66466-elyte-guest-inn-abuja,"Garki, Abuja - Plot 440, Zungeru Close, Off Jos Street, Area 3",https://hotels.ng/hotels-in-abuja/garki,Garki,There was no issue at all. I had a nice stay....,6800.0,6.0,Abuja
87,Villa Picasso (Abuja),https://hotels.ng/hotel/39222-villa-picasso-abuja,"Maitama, Abuja - 22 Gana Street, Maitama, Abuja. ( Opposite Transcorp Hilton Hotel)",https://hotels.ng/hotels-in-abuja/maitama,Maitama,"My stay at the hotel was fantastic, I received a warm reception from their ever smiling st...",33000.0,6.4,Abuja
93,Summerset Continental Hotel,https://hotels.ng/hotel/78382-summerset-continental-hotel-abuja,"Maitama, Abuja - 73 Usuma Street",https://hotels.ng/hotels-in-abuja/maitama,Maitama,"My stay  was good as expected, the hotel was generally okay. Everything was in place. I wa...",50000.0,6.2,Abuja
95,Laropa Luxury Suites,https://hotels.ng/hotel/89685-laropa-luxury-suites-abuja,"Gwarinpa, Abuja - House 54, 21 Road,  2nd Avenue",https://hotels.ng/hotels-in-abuja/gwarinpa,Gwarinpa,"I had a fantastic stay at the hotel, I love their services. My room was kept neat and thei...",8000.0,6.1,Abuja
96,Canopy Hotels,https://hotels.ng/hotel/91133-canopy-hotels-abuja,"Utako, Abuja - No. 24, Moses Majekodumi Crescent",https://hotels.ng/hotels-in-abuja/utako,Utako,My stay has been very good. I was scheduled to check out today but because of a change in ...,8500.0,6.3,Abuja
98,Sheer Luxury Apartments ,https://hotels.ng/hotel/58155-sheer-luxury-suites-abuja,"Garki 2, Abuja - Plot 1659 Sapele Street Off Akintola Boulevard",https://hotels.ng/hotels-in-abuja/garki-2,Garki 2,"My stay at the hotel was a pretty decent one, the room was big and had a nice bed that was...",25000.0,6.7,Abuja
104,Barca Liga Hotels,https://hotels.ng/hotel/1006513-barca-liga-hotels-abuja,"Apo, Abuja - Franca Afegbua Crescent, Gudu District, Near Zone E, Apo Legislative Quarters",https://hotels.ng/hotels-in-abuja/apo,Apo,The hotel is good especially the front desk. ...,18000.0,7.5,Abuja
105,1st Forty Hotel,https://hotels.ng/hotel/35665-first-forty-hotel-abuja,"Wuse, Abuja - Plot 38, Aminu Kano Crescent",https://hotels.ng/hotels-in-abuja/wuse,Wuse,"Wow! This hotel is totally amazing, they have excellent staff, clean water and power suppl...",17800.0,7.0,Abuja
112,Tranquil Mews Boutique Hotel,https://hotels.ng/hotel/18119-tranquil-mews-boutique-hotel-abuja,"Utako, Abuja -  Plot 1079, Behind Julius Berger Head Quarters, Off Ngozi Okonjo Iweala Way, By Good Tidings Church, Utako",https://hotels.ng/hotels-in-abuja/utako,Utako,I had a nice stay at the hotel. The customer services and the facilities were quite okay. ...,20250.0,7.7,Abuja
155,Newton Park Hotel,https://hotels.ng/hotel/35291-newton-park-hotel-abuja,"Wuse, Abuja - Plot 2175 Cadastral Zone, 8 Cape Town Street, Of Ibrahim Babangida Way, Wuse Zone 4, Abuja",https://hotels.ng/hotels-in-abuja/wuse,Wuse,Nice experience....,29000.0,6.2,Abuja
156,De Agape Regency Hotels Limited,https://hotels.ng/hotel/12181-agape-hotels-abuja,"Wuse, Abuja - Plot 11, Amino Kano Crescent ",https://hotels.ng/hotels-in-abuja/wuse,Wuse,"My stay was fantastic, their services was fine, I had to extended my stay....",8000.0,6.1,Abuja
178,Neighbourhood Guest Houses Limited,https://hotels.ng/hotel/85696-neighbourhood-guest-houses-limited-abuja,"Kado, Abuja - Plot 20 Akande S.B. Street, Kado 1, Abuja",https://hotels.ng/hotels-in-abuja/kado,Kado,It was an okay stay....,6500.0,7.9,Abuja
179,Chinox Guest Inn,https://hotels.ng/hotel/36977-chinox-guest-inn-abuja,"Wuse Zone 6, Abuja - Plot 12 Cotonou Crescent",https://hotels.ng/hotels-in-abuja/wuse-zone-6,Wuse Zone 6,"This hotel is actually a nice place to stay. I had  good stay, the only problem I encounte...",8900.0,6.7,Abuja
193,Arlington Hotels ,https://hotels.ng/hotel/72822-arlington-hotels-suites-abuja," Kubwa, Abuja - Plot 166 Bakori Road, PW",https://hotels.ng/hotels-in-abuja/kubwa, Kubwa,My stay at the hotel was awesome. The staff at the hotel were friendly and hospitable. The...,7000.0,7.5,Abuja
197,Siman Suites Hotel,https://hotels.ng/hotel/29489-siman-suites-hotel-abuja,"Garki, Abuja - Plot 2163 Area 11, Malumfashi Close",https://hotels.ng/hotels-in-abuja/garki,Garki,"I quite liked the hotel. I enjoyed the warm staff relation, great concierge. The restauran...",12750.0,6.5,Abuja
214,Park Place Hotel,https://hotels.ng/hotel/51598-angel-park-place-hotel-abuja,"Utako, Abuja - Plot 22, F. Okotie Eboh Crescent",https://hotels.ng/hotels-in-abuja/utako,Utako,My experience here was a combination of sweet and sour. I was first welcomed with this hug...,10000.0,7.3,Abuja
217,Agura Hotel,https://hotels.ng/hotel/89777-agura-hotel-abuja,"Garki, Abuja - Moshod Abiola Road, P.M.B 40 Abuja,Nigeria.",https://hotels.ng/hotels-in-abuja/garki,Garki,"I just got to the hotel and unfortunately, there isn't power. I was assured the power will...",19500.0,6.6,Abuja
257,Bible Guest House,https://hotels.ng/hotel/73177-bible-guest-house-abuja,"Wuse, Abuja - 23 Ndola Crescent Beside NYSC (FCT) Sec.",https://hotels.ng/hotels-in-abuja/wuse,Wuse,"The hotel was okay, their services were nice and the facilities were in proper working ord...",9780.0,7.7,Abuja
279,Rosebud Hotel And Apartment ,https://hotels.ng/hotel/95887-nanet-suites-abuja,"Central Business District, Abuja - Plot 1042 Kur Mohammed Way Ekiti House",https://hotels.ng/hotels-in-abuja/central-business-district,Central Business District,"My stay at the hotel was a memorable one. I enjoyed every moment spent there, the  custome...",35000.0,6.4,Abuja
298,Pedallo Luxury Inn,https://hotels.ng/hotel/58328-pedallo-luxury-inn-abuja,"Kubwa, Abuja - Gado Opposites Lagos Street, Before Phase IV Bridge Shama Wate",https://hotels.ng/hotels-in-abuja/kubwa,Kubwa,I enjoyed every bit of my stay at the hotel. The room was neatly arranged and very clean. ...,4000.0,7.7,Abuja
302,KINDEA HOTELS ( Formerly Lake Chad Palace Hotel),https://hotels.ng/hotel/82312-lake-chad-palace-hotel-abuja,"Maitama, Abuja - No. 4 Lake Alau Close Off Lake Chad Crescent IBB Boulevard",https://hotels.ng/hotels-in-abuja/maitama,Maitama,I had a good stay at the hotel. I was well received and the room I stayed in was very okay...,25000.0,6.9,Abuja
321,Allied Suncourt Hotel Apartment,https://hotels.ng/hotel/57145-allied-suncourt-hotel-apartment-abuja,"Wuse, Abuja - 52 Harper Cresent Opposite Education Resource Centre Wuse Zone ",https://hotels.ng/hotels-in-abuja/wuse,Wuse,I really enjoyed my stay at Allied Sun Court. There was constant power supply all through ...,10750.0,6.3,Abuja
324,12th April Resorts Hotel,https://hotels.ng/hotel/1000695-12th-april-resorts-hotel-abuja,"Gwagwalada, Abuja - 113 Commercial Layout, Hospital Road Gwagwalada",https://hotels.ng/hotels-in-abuja/gwagwalada,Gwagwalada,"I had a nice stay at the hotel.  Everything was just perfect as it ought to be - the food,...",8900.0,6.7,Abuja
360,Dreamland Suites,https://hotels.ng/hotel/42216-dreamland-suites-abuja,"Jabi, Abuja - No 4 Amisi Musa Street Off Alex Ekwueme Way, Opp Jabi Lake",https://hotels.ng/hotels-in-abuja/jabi,Jabi,"The check-in was fast and the hotel's receptionist was helpful. The room is spacious, clea...",11500.0,7.4,Abuja
365,Musada Luxury Suites,https://hotels.ng/hotel/45438-musada-luxury-suites-abuja,"Wuse, Abuja - Plot 503, Bangui Street, Off Adetokunbo Ademola Crescent",https://hotels.ng/hotels-in-abuja/wuse,Wuse,"This hotel is  very nice, it was a perfect place to spend the night. The room was very spa...",8000.0,7.5,Abuja
402,Afri Hotels,https://hotels.ng/hotel/91935-afri-hotels-abuja,"Central Business District, Abuja - Plot 281 Herbert Macaulay Way, Opposite National Defense College",https://hotels.ng/hotels-in-abuja/central-business-district,Central Business District,My stay was pretty okay at the hotel. I was well received by the staff. The room I was tak...,7000.0,6.2,Abuja
416,Gracious Hotel,https://hotels.ng/hotel/91131-gracious-hotel-abuja,"Garki, Abuja - 29, Okemesi Crescent, New Polytechnic Layout (BY FERMA)",https://hotels.ng/hotels-in-abuja/garki,Garki,I love peace and quite. Lovely place and I love the garden and resort at the back. Exquisi...,12000.0,7.0,Abuja
476,Purple Tulip Hotel And Resort,https://hotels.ng/hotel/85828-purple-tulip-hotel-and-resort-abuja,"Gwarinpa, Abuja - Plot 420, 4th Avenue, Gwarinpa, Abuja.",https://hotels.ng/hotels-in-abuja/gwarinpa,Gwarinpa,I am very pleased with the hotel's services and their facilities. They are always on point...,10000.0,7.4,Abuja
477,Bamboo House,https://hotels.ng/hotel/25588-bamboo-house-abuja,"Maitama, Abuja - 3 Salt Lake Off Usuma Street",https://hotels.ng/hotels-in-abuja/maitama,Maitama,"My stay at the hotel was very good,  impressive actually. My check in and check out went s...",15000.0,6.2,Abuja
482,Nordy Hotels,https://hotels.ng/hotel/98894-nordy-meridian-hotels-abuja,"Utako, Abuja -  No 15 Inuwa Wada Crescent Off TOS Benson Crescent  Behind Utako Primary School, By Okonjo Iweala Street.",https://hotels.ng/hotels-in-abuja/utako,Utako,"
I had a good time at the hotel. The environment was very conducive, The room rates were ...",8000.0,7.8,Abuja
491,Day Spring Hotel,https://hotels.ng/hotel/45873-dayspring-hotel-abuja,"Wuse, Abuja - Plot 4 Juba Street",https://hotels.ng/hotels-in-abuja/wuse,Wuse,"My stay in the hotel was not bad, the room I checked into was comfortable and tidy though ...",8100.0,6.3,Abuja
2,Beni Apartments,https://hotels.ng/hotel/55821-beni-apartments-lagos,"Victoria Island, Lagos - Plot 37 Ahmed Onibudo Street Off Adeola Hopewell",https://hotels.ng/hotels-in-lagos/victoria-island,Victoria Island,"My stay at the hotel was a wonderful one. The hotel is a really nice place to be, beautifu...",12000.0,7.4,Lagos
3,Beni Hotels,https://hotels.ng/hotel/66239-beni-hotels-lagos,"Lagos Island, Lagos - 11/13 Wimo Onatere Street, Off Broad Street",https://hotels.ng/hotels-in-lagos/lagos-island,Lagos Island,I really didn't have any problem fitting in at the hotel because it was just how I picture...,7500.0,7.3,Lagos
4,Choice Suites (Formerly Chantella Suites),https://hotels.ng/hotel/998818-chantella-suites-lagos,"Ikeja, Lagos - 3B, Allen Lane, Off Allen Avenue, Behind KFC, By Durosoleye Hospital",https://hotels.ng/hotels-in-lagos/ikeja,Ikeja,"Nice hotel, we had a nice time....",8000.0,7.3,Lagos
5,Extended Stay Grand Hotel,https://hotels.ng/hotel/1007164-extended-stay-grand-hotel-lagos,"Lekki Phase 1, Lagos - 21 Oladimeji Alo, Off Freedom Way Beside Canadian Embassy, Lekki Phase 1",https://hotels.ng/hotels-in-lagos/lekki-phase-1,Lekki Phase 1,"My stay was okay, customer service was perfect too....",12000.0,7.6,Lagos
6,Beni Gold Hotel And Apartments,https://hotels.ng/hotel/86784-benigold-hotel-lagos,"Victoria Island, Lagos - 18 Adeleke Adedoyin Off Kofo Abayomi, Victoria-Island, Lagos",https://hotels.ng/hotels-in-lagos/victoria-island,Victoria Island,"Although I had a really good stay at the hotel, I had a few issues. First, the light in my...",18000.0,7.8,Lagos
8,Presken Hotel And Suites (Former Hayes Hotels),https://hotels.ng/hotel/26498-hayes-hotels-lagos,"Ikeja, Lagos - 14/16 Mojidi Street, Off Toyin Street  POBox 14603 ",https://hotels.ng/hotels-in-lagos/ikeja,Ikeja,"A great place to be, everything was nice....",14600.0,7.1,Lagos
10,Perfect View Hotels Ltd (Formerly La Bugatti Suite Limited),https://hotels.ng/hotel/21874-la-bugatti-suite-limited-lagos,"Victoria Island, Lagos - 204B, Etim Inyang Crecsent",https://hotels.ng/hotels-in-lagos/victoria-island,Victoria Island,My stay was fine and perfect. The experience was great....,10000.0,6.7,Lagos
11,Demiral Hotel At The Place Lekki,https://hotels.ng/hotel/71756-demiral-hotel-lagos,"Lekki, Lagos - Plot 38 Block 10 Beside Fun Factory Admiralty Way",https://hotels.ng/hotels-in-lagos/lekki,Lekki, It is a good hotel with good facilities and services. ...,12000.0,7.2,Lagos
12,Integrity Hotel And Suites,https://hotels.ng/hotel/1012440-integrity-hotel-and-suites-lagos," Victoria Island, Lagos - 17, Agbagbon Close Off Ologun Agbaje Street, Off Adeola Odeku, Victoria Island.",https://hotels.ng/hotels-in-lagos/victoria-island, Victoria Island,"My stay was very fine, the receptionist was very jovial, smiled at guests and was very pro...",13000.0,6.0,Lagos
14,Eko Hotel ,https://hotels.ng/hotel/98947-eko-hotel-suites-lagos,"Victoria Island, Lagos - 1415 Adetokunbo Ademola Street",https://hotels.ng/hotels-in-lagos/victoria-island,Victoria Island,"Clean rooms and responsive staff.  Good hotel, great service....",73400.0,7.5,Lagos
15,Presken Hotel And Resorts (Formerly Cheers Hotel),https://hotels.ng/hotel/43895-cheers-hotel-suites-lagos,"Ikeja, Lagos - 131 Obafemi Awolowo Way By Allen Avenue Round About",https://hotels.ng/hotels-in-lagos/ikeja,Ikeja,That place is such a nice place. My stay was very okay. Thanks to Hotels.ng...,14600.0,7.4,Lagos
16,"Presken Hotel @ G.R.A, Ikeja",https://hotels.ng/hotel/994933-cottage-3-guest-house-lagos,"Ikeja, Lagos - 6, Remi Fani Kayode Avenue, G.R.A, Ikeja , Off Oba Akinjobi Way",https://hotels.ng/hotels-in-lagos/ikeja,Ikeja,My stay was enjoyable.  The staff were friendly....,14600.0,7.8,Lagos
18,Vintage Suites,https://hotels.ng/hotel/45347-vintage-house-hotel-lagos,"Surulere, Lagos - 15c, Akinhanmi Street, Off Funsho Williams Avenue, By Fo Filling Statio",https://hotels.ng/hotels-in-lagos/surulere,Surulere,The customer service was very okay....,8000.0,6.5,Lagos
19,Dmatel Hotel And Resort ,https://hotels.ng/hotel/97738-dmatel-hotel-and-resort-lagos,"Lekki, Lagos - 10 Agungi Road, Ajiran Off Lekki Expressway",https://hotels.ng/hotels-in-lagos/lekki,Lekki,"I enjoy my stay, room service was top notch. Clean environment, awesome staff and function...",17000.0,7.2,Lagos
20,BTT HOMES,https://hotels.ng/hotel/1241065-btt-homes,"Lekki Phase 1, Lagos - Plot 5 Theophilus Orji Off Fola Osibo, Off Admiralty Way, Lekki Phase I",https://hotels.ng/hotels-in-lagos/lekki-phase-1,Lekki Phase 1,My stay was okay. my room was spacious room and nice....,15000.0,7.5,Lagos
21,Amador Suites,https://hotels.ng/hotel/35955-amador-suites-lagos,"Ajah, Lagos - 7/8 Young Arabamen Street Farm  Bus-stop Sangotedo Off Lekki -Epe Expressway",https://hotels.ng/hotels-in-lagos/ajah,Ajah,My stay was fine. The environment was very clean and conducive....,5999.0,6.5,Lagos
